AD,min1,min2,min3,min4
BÜYÜKORHAN,0.0,0.0,0.0,0.0
GEMLİK,0.0,0.0,0.0,0.0
GÜRSU,0.0,0.0,0.0,0.0
HARMANCIK,0.0,0.0,0.0,0.0002
KARACABEY,0.0001,0.0,0.0,0.0
KELES,0.0039,0.0,0.0,0.0005
KESTEL,0.0,0.0,0.0,0.0
MUDANYA,0.0,0.0,0.0,0.0
MUSTAFAKEMALPAŞA,0.0,0.0,0.0,0.0
NİLÜFER,0.0,0.0,0.0,0.0
ORHANELİ,0.0,0.0,0.0,0.0005
ORHANGAZİ,0.0,0.0,0.0,0.0
OSMANGAZİ,0.0,0.0,0.0,0.0
YENİŞEHİR,0.0,0.0,0.0,0.0
YILDIRIM,0.0,0.0,0.0,0.0
İNEGÖL,0.0,0.0,0.0,0.0
İZNİK,0.0,0.0,0.0,0.0
